연도,캠페인유형,캠페인,광고그룹,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_MC0511_h-s,39635200,1125879,16019,1735,216109760,5.452470531,0.0142279943,0.1083088832
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_ic05_h-s,7050725,524029,4190,378,33042120,4.686343603,0.007995740694,0.09021479714
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_mc058_h-s,27777409,833382,11839,1036,119250570,4.293077515,0.01420597037,0.08750739083
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_mc059_h-s,1010086,102966,982,98,10990610,10.88086559,0.009537128761,0.09979633401
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_mc05_h,64811736,1382088,29937,6291,135525600,2.091065729,0.02166070467,0.2101412967
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_mc05_h-s,3543100,204694,1552,120,12691970,3.582165335,0.007582049303,0.07731958763
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A03_홈CCTV_MO@cpc_mc05_h,7532085,288187,3493,774,18362740,2.437935844,0.01212060225,0.2215860292
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B01_홈카메라_MO@cpc_mc05_h,238194,12018,167,13,567300,2.381672082,0.01389582293,0.07784431138
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B02_홈캠_MO@cpc_mc05_h,6280516,104042,3310,684,13698410,2.181096267,0.03181407509,0.2066465257
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B03_홈CCTV_MO@cpc_mc05_h,937189,79008,778,110,2600700,2.77500056,0.009847104091,0.1413881748
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B04_강아지캠_MO@cpc_mc05_h,4993175,125303,3165,527,14984300,3.000956305,0.02525877273,0.1665086888
