월,캠페인,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025-03,05.커튼set_확장_PC@naver_powerlink,10681,706,18,0,0,0.0,0.025495750708215296,0.0
2025-03,06.멀티탭_메인_MO@naver_powerlink,35816,54976,57,0,0,0.0,0.0010368160651920838,0.0
2025-03,06.멀티탭_메인_PC@naver_powerlink,50105,40072,64,19,441000,8.801516814689153,0.001597125174685566,0.296875
2025-03,07.반려_MO@naver_shoppingsearch,2270884,242887,1453,280,7900200,3.4789095347890955,0.005982205717061844,0.19270474879559532
2025-03,07.반려_PC@naver_shoppingsearch,328317,300887,242,38,513000,1.5625142773599905,0.0008042886532153267,0.15702479338842976
2025-03,08.리빙_MO@naver_shoppingsearch,214137,35032,380,103,904900,4.22579937143044,0.010847225393925554,0.2710526315789474
2025-03,08.리빙_PC@naver_shoppingsearch,30030,13776,45,5,44900,1.4951714951714952,0.0032665505226480837,0.1111111111111111
2025-03,08.전원_메인_MO@naver_powerlink,36410,8101,85,15,63700,1.7495193628124142,0.010492531786199235,0.17647058823529413
2025-03,08.전원_메인_PC@naver_powerlink,13805,6049,34,7,68800,4.983701557406737,0.005620763762605389,0.20588235294117646
2025-03,08.전원_확장_MO@naver_powerlink,2156,531,9,0,0,0.0,0.01694915254237288,0.0
2025-03,08.전원_확장_PC@naver_powerlink,2464,286,8,0,0,0.0,0.027972027972027972,0.0
2025-03,09.로청_MO@naver_shoppingbrand,1650,1064,5,0,0,0.0,0.004699248120300752,0.0
2025-03,09.로청_PC@naver_shoppingbrand,4554,14033,13,0,0,0.0,0.0009263878001852776,0.0
2025-03,09.센서_메인_MO@naver_powerlink,11781,1666,30,3,149500,12.689924454630336,0.01800720288115246,0.1
2025-03,09.센서_메인_PC@naver_powerlink,5324,1284,13,0,0,0.0,0.010124610591900311,0.0
2025-03,09.센서_확장_MO@naver_powerlink,7612,4992,26,1,0,0.0,0.005208333333333333,0.038461538461538464
2025-03,09.센서_확장_PC@naver_powerlink,1573,4850,8,0,0,0.0,0.0016494845360824743,0.0
2025-03,신제품_TEST,0,1571,239,0,0,,0.15213239974538512,0.0
2025-04,00.브랜드_MO@naver_powerlink,358336,48588,658,226,4654900,12.990321932487944,0.01354243846217173,0.3434650455927052
2025-04,00.브랜드_PC@naver_powerlink,354838,24446,619,250,4912050,13.843077686155372,0.025321115928986337,0.40387722132471726
2025-04,00.브랜드형@naver_shoppingbrand,1012,357,3,0,0,0.0,0.008403361344537815,0.0
2025-04,00.자상호_MO@naver_shoppingsearch,12988448,267102,7175,2567,55422950,4.2670956529987265,0.02686239713667438,0.3577700348432056
2025-04,00.자상호_PC@naver_shoppingsearch,1825164,54667,1070,362,7291300,3.9948738853056494,0.019573051383833025,0.3383177570093458
2025-04,01.브랜드형_쇼검@naver_shoppingbrand,182853,182905,234,14,539700,2.951551246082919,0.0012793526694185506,0.05982905982905983
2025-04,01.신규 자사명@naver_brandsearch,0,65839,23890,10569,176076170,0.0,0.3628548428742842,0.44240267894516533
2025-04,01.펫_MO@naver_shoppingbrand,58487,72648,99,1,205400,3.511891531451434,0.0013627353815659068,0.010101010101010102
2025-04,01.펫_PC@naver_shoppingbrand,726,57354,2,0,0,0.0,3.48711510966977e-05,0.0
2025-04,01.홈카메라_메인_MO@naver_powerlink,1046045,56358,671,132,2643500,2.5271379338364985,0.01190602931260868,0.19672131147540983
2025-04,01.홈카메라_메인_PC@naver_powerlink,67529,22738,74,2,223300,3.30672748004561,0.003254463893042484,0.02702702702702703
2025-04,01.홈카메라_쿠팡_MO@naver_powerlink,2435664,420832,1998,239,5130130,2.106255214183894,0.004747737814614858,0.11961961961961962
2025-04,01.홈카메라_쿠팡_PC@naver_powerlink,706519,400786,678,103,2218520,3.140071250737772,0.0016916758569411106,0.15191740412979352
2025-04,01.홈카메라_확장_MO@naver_powerlink,279961,18306,309,43,1321800,4.721371905372534,0.016879711569977057,0.13915857605177995
2025-04,01.홈카메라_확장_PC@naver_powerlink,82830,9869,99,13,263900,3.1860437039719907,0.01003141149052589,0.13131313131313133
2025-04,01.홈캠_MO@naver_shoppingsearch,15585339,398983,7894,1616,39600540,2.5408840962650863,0.019785304135765184,0.20471243982771725
2025-04,01.홈캠_PC@naver_shoppingsearch,3419471,223633,1775,282,8666830,2.5345528591995663,0.007937111249234236,0.1588732394366197
2025-04,02.로봇청소기_메인_MO@naver_powerlink,356323,275176,377,3,0,0.0,0.001370032270256127,0.007957559681697613
2025-04,02.로봇청소기_메인_PC@naver_powerlink,67529,579402,72,0,0,0.0,0.00012426605362080213,0.0
2025-04,02.로봇청소기_확장_MO@naver_powerlink,25542,7353,58,0,0,0.0,0.007887936896504829,0.0
2025-04,02.로봇청소기_확장_PC@naver_powerlink,97856,12927,67,1,0,0.0,0.005182950413862459,0.014925373134328358
2025-04,02.커튼_MO@naver_shoppingsearch,188903,16287,274,1,0,0.0,0.016823233253515073,0.0036496350364963502
2025-04,02.커튼_PC@naver_shoppingsearch,259589,21314,181,14,1047900,4.0367658105697855,0.008492070939288731,0.07734806629834254
2025-04,03.반려_메인_MO@naver_powerlink,519926,50578,559,13,452200,0.869739155187469,0.011052236150104788,0.023255813953488372
2025-04,03.반려_메인_PC@naver_powerlink,71907,55133,94,7,211000,2.9343457521520855,0.0017049679865053598,0.07446808510638298
2025-04,03.반려_확장_MO@naver_powerlink,280863,22106,307,17,547700,1.950061061798813,0.013887632317018004,0.05537459283387622
2025-04,03.반려_확장_PC@naver_powerlink,135256,26545,143,12,147800,1.0927426509729699,0.005387078545865512,0.08391608391608392
2025-04,03.조명_MO@naver_shoppingsearch,672606,119066,749,84,1858000,2.762389868660107,0.006290628726924563,0.11214953271028037
2025-04,03.조명_PC@naver_shoppingsearch,217976,145646,228,34,1280300,5.873582412742687,0.001565439490270931,0.14912280701754385
2025-04,04.리모컨허브_메인_MO@naver_powerlink,87318,37626,122,3,16900,0.19354543164066973,0.003242438739169723,0.02459016393442623
2025-04,04.리모컨허브_메인_PC@naver_powerlink,9273,22953,24,0,0,0.0,0.0010456149522938179,0.0
2025-04,04.리모컨허브_확장_MO@naver_powerlink,781,427,2,0,0,0.0,0.00468384074941452,0.0
